,AUS,AUT,BEL,CAN,DNK,FRA,DEU,ITA,JPN,NLD,NOR,ESP,SWE,CHE,GBR,USA,ALL AVERAGE,16 COUNTRIES AVERAGE,NO JPN CHE AVERAGE
1970,0.06658767789981024,0.0819979820574572,0.1314069510201456,0.14886131198712194,0.10202651570672243,0.12966379122609267,0.12490897914251395,0.11608857553124871,0.07961679820940794,0.11669512536868304,0.058516091056112676,,0.11793878696368087,0.080809682844982,0.12170779289791653,0.1444519832251009,0.12159347785620483,0.12159347785620483,0.12302095453096679
1971,0.12009645040833844,0.09088046013830343,0.09978093332913854,0.054783704857841155,0.11783578029762988,0.09904530598959854,0.10630876132041003,0.11781395888237921,0.10360738181754581,0.09220772359194482,0.06921127029946307,,0.10414019436057152,0.06505885959790997,0.0902183369275245,0.06582204667820234,0.09545759030275824,0.09545759030275824,0.09402827053820631
1972,0.0035859900807584085,0.03970480279605939,0.023171272583959315,0.03145588954758565,0.0783570850876116,0.00087715412044276,-0.043556278021507994,0.07665856613976477,0.028155827797030807,0.02902788968211513,0.06590959541929896,,0.08599229363419467,0.024401229589373772,-0.004048747943095759,-0.008506517382082449,0.0054175367866247815,0.0054175367866247815,0.00476378790271597
1973,-0.06201794639936037,0.02772467569738326,-0.011590369326968757,-0.001015082522487938,-0.003916349729695422,-0.017643971427073062,0.10156989866246348,-0.014562135050120474,0.011937435350831097,0.009815110630842191,0.026503268089654385,,0.003258807128671772,-0.04623015379229071,-0.0029793071376883165,0.024913003671765025,0.0026126020267016876,0.0015187192334009246,0.0019115345439676495
1974,0.14463348685799707,0.10228721134629819,0.14263972563760763,0.12385254204643463,0.19713334587089307,0.20489266152036034,0.22868858890922805,0.039438448520623885,0.11117765307926968,0.13797659942707102,0.06356289298672035,,0.04781973739708305,0.1905356410778601,0.17101533048042605,0.1243007263261992,0.16308508596311877,0.16759652577127704,0.1579393486204742
1975,0.08009907483635421,0.12926908656541033,0.028141326211269104,0.06877702760889749,0.11511511321489189,0.09089988427015051,0.1127159191478292,0.062207091303728784,0.10294153879905765,0.12881546965736196,0.07447175062138134,,0.08822814218394397,0.1451663478677888,0.12873060096480707,0.10727190005287596,0.09323928031278368,0.0930456581801272,0.08293191646611969
1976,0.08171829114695718,0.08788172506881951,0.13814229385408913,0.13003689364576346,0.09152846497653389,0.07374146955800504,0.11832255388824749,0.07910565428222827,0.14595475869919938,0.13108068426634462,0.06702676459951845,,0.039898962383644425,0.05708472533827685,0.2327857150748181,0.07484649114981706,0.08118908080582299,0.08796176752789038,0.08916082200988967
1977,0.13533117995398794,0.10797408750729326,0.09416792001281546,0.05613654494874186,0.10963644984775026,0.12356565024615895,0.0834068431054064,0.1784059794003568,0.11753650931986066,0.018545186975005592,0.03377038205163427,,0.13078907358300892,0.09170080595304526,0.11190247302696127,0.01339281155044383,0.09489167799822579,0.08937017887266324,0.08816989734448044
1978,0.07566842853894853,0.09181710295490984,0.005422910438486141,0.026862245649464975,0.11087861552300733,0.06970484493469306,-0.026356271244548143,0.15478903330084678,-0.010441816361414705,-0.006073506688728375,0.04838271143042345,,0.08929169924703276,0.013213646548446468,0.056541711240496,0.0184716402063908,0.03698588794330185,0.03788037384582332,0.04251674875102936
1979,0.025826783054693606,0.031981868546326946,0.0013620025609058807,0.03853093991152449,0.1179355672306453,-0.0051608891764723325,0.007866203447455714,0.054267520921118646,0.03797087431911218,0.10758694735418178,0.02814647587423122,0.06723497251763037,0.011691166610096082,-0.05953616071473631,0.07654732302608787,0.026354427881516606,0.03042024566058002,0.02719195621095836,0.030867223925344068
