DATE,AAA Returns,BAA Returns,S&P 500 Returns,3-1,10-4,30-20,10-1,10-10
1919-01-01,,,-0.000278158510038,0.001952425199419,0.002047112848853,,0.000132903804439,-0.000167471965091
1919-02-01,0.004458333333333,0.000366048810157,0.009743821871598,0.002047112848853,0.002141847587733,,0.000191107762875,-0.000247767719833
1919-03-01,0.001427311036505,0.009487569650657,0.03620397922866,0.002141847587733,0.002236628773288,,0.000253153650669,-0.000323396712264
1919-04-01,0.00071198358402,0.000398723264826,0.038813408722167,0.002236628773288,0.002331455806695,,0.000319023387061,-0.000394397464193
1919-05-01,0.008322111204368,0.015817236391237,0.074239541242184,0.002331455806695,0.002426328111321,,0.000388698173417,-0.000460809077895
1919-06-01,0.003734275413799,0.009413639992291,0.031732327688991,0.002426328111321,0.002521245111116,,0.000462158560874,-0.000522671260403
1919-07-01,0.001476253533883,0.00446583807491,0.037392778160254,0.002521245111116,0.002616206209227,,0.000539384520212,-0.000580024343881
1919-08-01,-0.004485842770203,0.000996235294617,-0.062224300771632,0.002616206209227,0.002711210766827,,0.000620355513885,-0.000632909302169
1919-09-01,0.001632692576523,-0.003769788032939,0.020777990632981,0.002711210766827,0.002806258082243,,0.000705050570162,-0.000681367763535
1919-10-01,0.00918057757952,0.001218175593675,0.055806231958624,0.002806258082243,0.002901347370373,,0.00079344835929,-0.000725442019701
1919-11-01,-0.004359468544538,-0.007586456814265,-0.024761105359536,0.002901347370373,0.002996477742467,,0.000885527271603,-0.000765175031205
1919-12-01,-0.000501945148999,-0.009311249061529,-0.024428340579463,0.002996477742467,0.005235527894442,,0.000981265497465,-0.000800610429111
1920-01-01,0.003285389295089,0.005797282120517,-0.005087798593936,0.005235527894442,0.005245862544271,,0.003712236910115,0.001718396582098
1920-02-01,-0.003358401152485,-0.004281912699962,-0.077220031784647,0.005245862544271,0.00525624091963,,0.00366744320685,0.001752048591048
1920-03-01,0.000450495056776,0.004600915491868,0.075464564910932,0.00525624091963,0.005266662611518,,0.003581841196809,0.001785461543986
1920-04-01,-0.003882057523274,-0.006676198564616,-0.003035058072477,0.005266662611518,0.005277127114569,,0.00359759701615,0.001818637751497
1920-05-01,-0.010241417426059,-0.007697650665613,-0.057414353588397,0.005277127114569,0.005287633827452,,0.003586416665355,0.001851579571496
1920-06-01,-0.004189852647531,0.006991666666667,-0.011898346575766,0.005287633827452,0.005298182053227,,0.003636953488734,0.001884289408127
1920-07-01,0.008213853025892,-0.001530489920044,0.00421567125107,0.005298182053227,0.005308770999678,,0.003654507316728,0.001916769710669
1920-08-01,0.008185972117468,0.015671717817559,-0.033489143212012,0.005308770999678,0.005319399779607,,0.00367138431859,0.00194902297246
1920-09-01,0.011077181303113,0.023661454262581,0.041032457254955,0.005319399779607,0.005330067411097,,0.003683979504117,0.001981051729827
1920-10-01,0.017665894960373,0.016852996860789,0.006664049045724,0.005330067411097,0.005340772817738,,0.00364835941731,0.00201285856103
1920-11-01,0.002841985337815,-0.007965033880122,-0.045079603137979,0.005340772817738,0.005351514828818,,0.003667863913417,0.002044446085221
1920-12-01,-0.008019814216615,-0.016061784637118,-0.083331370193252,0.005351514828818,0.009436756674721,,0.003713703444123,0.002075816961412
1921-01-01,0.013990483415096,0.011070142168367,0.050030359919949,0.009436756674721,0.009297595610994,,0.010014630181925,0.007737958036392
1921-02-01,0.009516029324369,0.01235117400363,-0.001130554659081,0.009297595610994,0.009158151822263,,0.009872798230297,0.007891006886753
1921-03-01,0.005066666666667,-0.001494115710784,-0.019439549157828,0.009158151822263,0.00901843500742,,0.009791548102515,0.008037753752963
1921-04-01,0.006534508681459,0.00843551731835,0.010269775294765,0.00901843500742,0.008878455692667,,0.00965351714709,0.008178299578749
1921-05-01,0.001389059334069,0.007763883840003,0.036125756787373,0.008878455692667,0.008738225221764,,0.009573578196273,0.008312740512025
1921-06-01,-1.6741193940511E-05,0.004482462708139,-0.073822083083169,0.008738225221764,0.008597755749208,,0.009524189807956,0.008441167874516
1921-07-01,0.009541053833295,0.01238709262725,0.003072139158084,0.008597755749208,0.008457060236264,,0.009272387534957,0.008563668144527
1921-08-01,0.014672647925878,0.005099139000166,-0.006049598157579,0.008457060236264,0.008316152449746,,0.009207792405647,0.008680322951976
1921-09-01,0.009422401388031,0.018325918769524,0.030731567158053,0.008316152449746,0.00817504696347,,0.009215289203436,0.008791209084877
1921-10-01,0.011616248898646,0.00695,0.019461504881041,0.00817504696347,0.008033759162303,,0.008999529207253,0.008896398506458
1921-11-01,0.022870511207532,0.037984140852216,0.059160993897369,0.008033759162303,0.007892305248743,,0.008893515109573,0.008995958382158
1921-12-01,0.012204292495256,0.025006957764872,0.040654722920857,0.007892305248743,0.003247991450818,,0.008792573489478,0.009089951115765
1922-01-01,0.016736631995762,0.000220015682977,0.003883152496424,0.003247991450818,0.00326562789645,,0.002967154217629,0.002961315106234
1922-02-01,0.008257067115607,0.016689322799927,0.02716803163294,0.00326562789645,0.003283267756582,,0.002993165394593,0.002922695381172
1922-03-01,0.008990059158378,0.013171446156626,0.042593804915334,0.003283267756582,0.00330091007299,,0.003023317247989,0.002885299314718
1922-04-01,0.010490968969959,0.027841227102335,0.065595621398245,0.00330091007299,0.003318553931361,,0.002944153387468,0.002849116393115
1922-05-01,0.005826310231879,0.023598585493182,0.043666189261087,0.003318553931361,0.003336198456797,,0.00293138487246,0.002814136256996
1922-06-01,0.0081209118079,0.000115001195794,-0.004546316400406,0.003336198456797,0.003353842809301,,0.002923494831519,0.002780348695112
