Year,LCB,LCG,LCV,MCB,MCG,MCV,SCB,SCG,SCV
2002,-21.28,-22.06,-20.65,-16.82,-20.63,-13.05,-18.09,-23.89,-12.38
2003,28.19,26.66,29.98,36.83,36.15,37.56,45.81,45.72,45.90
2004,11.18,6.96,15.74,18.73,13.45,24.69,18.51,14.93,22.07
2005,6.13,3.82,8.54,12.38,8.86,15.60,7.57,4.66,10.75
2006,15.96,9.82,21.81,13.89,12.29,15.36,15.83,11.68,20.09
2007,6.59,11.85,0.75,4.72,10.94,-2.08,2.07,6.31,-1.99
2008,-37.94,-33.25,-43.85,-41.34,-39.23,-43.95,-33.67,-38.41,-28.62
2009,30.47,38.38,21.96,39.58,40.73,38.46,36.74,38.70,34.73
2010,15.69,15.21,16.28,26.60,30.68,22.69,28.22,31.86,24.97
2011,1.66,3.75,-0.35,-1.70,-0.90,-2.66,-1.85,-1.14,-2.59
2012,16.01,15.54,16.55,16.28,18.20,14.27,17.22,15.71,18.86
2013,34.20,34.06,34.34,36.66,33.13,40.40,41.76,42.73,40.83
2014,12.21,12.79,11.67,12.78,12.27,13.28,6.38,7.62,5.04
2015,1.12,5.86,-3.47,-1.06,1.15,-3.06,-3.47,-0.24,-6.63
