,NAV,Change
1871-01-01,1331.7617647531324,0.003069130092897573
1871-02-01,1335.8491148619066,0.003140614854800069
1871-03-01,1340.0445024358135,0.0032123719506404764
1871-04-01,1344.3492238080482,0.0032844011341349702
1871-05-01,1348.7646059233969,0.0033567024176862957
1871-06-01,1353.2920073369896,0.0034292760640309214
1871-07-01,1357.9328192253947,0.0035021225777255686
1871-08-01,1362.6884664106385,0.003575242696493389
1871-09-01,1367.560408397769,0.0036486373824402107
1871-10-01,1372.5501404265942,0.00372230781319075
1871-11-01,1377.6591945383002,0.0037962553729285254
1871-12-01,1382.8891406576306,0.0038704816434029002
1872-01-01,1388.2415876914072,0.005098850969861364
1872-02-01,1395.3200246572094,0.005132105587992912
1872-03-01,1402.480954352791,0.00516544118334708
1872-04-01,1409.7253872332649,0.005198858300794509
1872-05-01,1417.0543497645233,0.00523235747284747
1872-06-01,1424.4688846809447,0.005265939218840055
1872-07-01,1431.9700512468035,0.005299604044130164
1872-08-01,1439.5589255214643,0.005333352439310766
1872-09-01,1447.2366006284258,0.005367184879441683
1872-10-01,1455.0041870282932,0.00540110182330108
1872-11-01,1462.8628127957625,0.0054351037126511865
1872-12-01,1470.813623900688,0.0054691909715193525
1873-01-01,1478.8577844933134,0.008150231809680225
1873-02-01,1490.910818250484,0.008083305151991082
1873-03-01,1502.9623053488074,0.008016042108405029
1873-04-01,1515.010114475829,0.00794844485527378
1873-05-01,1527.052088825922,0.007880515904164932
1873-06-01,1539.086047098403,0.0078122580843756366
1873-07-01,1551.1097845123973,0.007743674526185511
1873-08-01,1563.121073838043,0.007674768644797544
1873-09-01,1575.1176664435575,0.007605544124960835
1873-10-01,1587.0972933576993,0.007536004906217068
1873-11-01,1599.0576663470868,0.0074661551687622355
1873-12-01,1610.996479007833,0.007395999319883417
1874-01-01,1622.9114078709094,0.007915783833353139
1874-02-01,1635.7580237562984,0.007820724408250887
1874-03-01,1648.5508364586815,0.007725392029823925
1874-04-01,1661.286537951419,0.007629792030765149
1874-05-01,1673.961808739498,0.007533930073553771
1874-06-01,1686.573319952341,0.00743781213927302
1874-07-01,1699.1177354652566,0.007341444516866634
1874-08-01,1711.5917140477989,0.0072448337927921505
1874-09-01,1723.9919115371954,0.007147986841022781
1874-10-01,1736.314983034893,0.007050910813376739
1874-11-01,1748.5575851242018,0.006953613130120383
1874-12-01,1760.716378106893,0.0068561014708126864
1875-01-01,1772.7880282565156,0.003786025159102163
1875-02-01,1779.49984833325,0.0037902207202638594
1875-03-01,1786.244545530109,0.003794573746856449
1875-04-01,1793.022582188043,0.0037990837924805052
1875-05-01,1799.8344252195852,0.0038037505946736075
1875-06-01,1806.6805464848283,0.0038085740631508846
1875-07-01,1813.5614231545696,0.0038135542679609957
1875-08-01,1820.4775380600502,0.003818691427566938
1875-09-01,1827.4293800287182,0.0038239858968588916
1875-10-01,1834.4174442054536,0.003829438155093921
1875-11-01,1841.442232358664,0.003835048793785553
1875-12-01,1848.5042531706968,0.0038408185045374424
1876-01-01,1855.604022511991,0.004672150440703262
1876-02-01,1864.273683663541,0.004654329239888542
1876-03-01,1872.950627180571,0.004636570091878609
1876-04-01,1881.6346940421217,0.004618872834712969
1876-05-01,1890.3257254152863,0.004601237265486042
1876-06-01,1899.023562586974,0.004583663143040553
1876-07-01,1907.7280468985696,0.004566150190688406
1876-08-01,1916.439019683697,0.004548698098948687
1876-09-01,1925.1563222092834,0.004531306528294903
1876-10-01,1933.8797956200985,0.004513975111927497
1876-11-01,1942.609280886987,0.00449670345855714
1876-12-01,1951.3446187589768,0.004479491155203833
1877-01-01,1960.0856497194623,0.004232157554351737
1877-02-01,1968.381041009099,0.004223730487442211
1877-03-01,1976.6949520229123,0.004215283704525275
1877-04-01,1985.0272820429918,0.004206817271237106
1877-05-01,1993.3779290969671,0.004198331254858296
1877-06-01,2001.7467899594396,0.004189825724286987
1877-07-01,2010.1337601535206,0.0041813007500273
1877-08-01,2018.5387339525057,0.004172756404163075
1877-09-01,2026.9616043816573,0.0041641927603494845
1877-10-01,2035.4022632201297,0.0041556098937896545
1877-11-01,2043.8606010030092,0.004147007881227301
1877-12-01,2052.3365070234986,0.004138386800928364
1878-01-01,2060.829869335228,0.004826853136226944
1878-02-01,2070.777192453259,0.004793918056448013
1878-03-01,2080.7043286270414,0.004760926885569327
1878-04-01,2090.6104098061223,0.004727879858743031
1878-05-01,2100.494564655123,0.004694777265686078
1878-06-01,2110.3559187839633,0.004661619451785925
1878-07-01,2120.193594985158,0.004628406819228531
1878-08-01,2130.006713478272,0.004595139828167461
1878-09-01,2139.79439216164,0.004561818997920071
1878-10-01,2149.555746871446,0.0045284449081913845
1878-11-01,2159.2898916482395,0.004495018200324997
1878-12-01,2168.995939010976,0.004461539578580673
1879-01-01,2178.6730002386544,0.0024291693268886578
1879-02-01,2183.9653658641546,0.002464158015388344
1879-03-01,2189.3470016257793,0.0024992813002493266
1879-04-01,2194.8187956466995,0.0025345391859872895
1879-05-01,2200.3816498904075,0.0025699318219744283
1879-06-01,2206.0364807129495,0.002605459494117735
1879-07-01,2211.784219405993,0.0026411226164657136
1879-08-01,2217.6258127306082,0.002676921722764094
1879-09-01,2223.562223441669,0.002712857457956128
1879-10-01,2229.5944308027624,0.0027489305696452274
1879-11-01,2235.723431091507,0.002785141899516572
1879-12-01,2241.950238095171,0.0028214923747397827
1880-01-01,2248.2758835965024,0.004429068298679855
1880-02-01,2258.233651039226,0.00440779573111442
1880-03-01,2268.1874836861357,0.004386537676655369
1880-04-01,2278.136973541043,0.004365293840049908
1880-05-01,2288.0817108384317,0.004344063922509425
1880-06-01,2298.0212840502386,0.004322847621727284
1880-07-01,2307.955279892674,0.004301644631900171
1880-08-01,2317.88328333309,0.004280454643744216
1880-09-01,2327.80487759689,0.004259277344509531
1880-10-01,2337.7196441744773,0.004238112417998846
1880-11-01,2347.627162828253,0.0042169595445796125
1880-12-01,2357.527011599656,0.0041958184012022845
1881-01-01,2367.418766816257,0.0030780877204805257
1881-02-01,2374.7058894516294,0.0030987272545492327
1881-03-01,2382.064455312812,0.0031193985621455825
1881-04-01,2389.4950637496527,0.003140101512028509
1881-05-01,2396.9983208123176,0.003160835997101069
1881-06-01,2404.574839389732,0.003181601934401143
1881-07-01,2412.2252393501467,0.0032023992650594725
1881-08-01,2419.9501476837995,0.0032232279542515536
1881-09-01,2427.750198647709,0.0032440879911228896
1881-10-01,2435.6260339125884,0.003264979388696289
1881-11-01,2443.578302711885,0.00328590218377057
1881-12-01,2451.6076619929804,0.003306856436799746
1882-01-01,2459.7147765705495,0.003816889591087795
1882-02-01,2469.1032362982864,0.003821889935713995
1882-03-01,2478.5398771073337,0.003826916190841201
1882-04-01,2488.0250414926813,0.003831968372448646
1882-05-01,2497.5590747615415,0.0038370464739579504
1882-06-01,2507.142325002857,0.0038421504657120587
1882-07-01,2516.775143054473,0.0038472802944598265
1882-08-01,2526.457882467933,0.00385243588284222
1882-09-01,2536.190899470842,0.0038576171288719255
1882-10-01,2545.9745529267298,0.0038628239054254282
1882-11-01,2555.80920429238,0.0038680560597268323
1882-12-01,2565.6952175725487,0.003873313412837625
1883-01-01,2575.632959272026,0.0035882268027114645
1883-02-01,2584.8749144904327,0.003602732004444164
1883-03-01,2594.1875260723523,0.0036172556154201903
1883-04-01,2603.5713654684905,0.00363179785690128
1883-05-01,2613.0270103738885,0.003646358949719456
1883-06-01,2622.555044799024,0.003660939113749915
1883-07-01,2632.156059140491,0.0036755385673761408
1883-08-01,2641.8306502512146,0.0036901575269496886
1883-09-01,2651.5794215101655,0.003704796206256295
1883-10-01,2661.4029828915636,0.003719454815956859
1883-11-01,2671.3019510334816,0.0037341335630408437
1883-12-01,2681.276949305852,0.003748832650264964
1884-01-01,2691.328607877813,0.006079275214935954
1884-02-01,2707.6899351789325,0.00601265486177708
1884-03-01,2723.970340231871,0.005945902820478369
1884-04-01,2740.166803160755,0.0058790201088501515
1884-05-01,2756.276298898141,0.005812008074618182
1884-06-01,2772.2957990032155,0.005744868387122706
1884-07-01,2788.222273498662,0.0056776030293611375
1884-08-01,2804.0526927252104,0.005610214290342197
1884-09-01,2819.78402921281,0.005542704757723333
1884-10-01,2835.41325956728,0.005475077310726855
1884-11-01,2850.937366371271,0.005407335113276693
1884-12-01,2866.353340098203,0.005339481607365229
1885-01-01,2881.658181037867,0.003311695739826194
1885-02-01,2891.2013561596455,0.0033097266422482514
1885-03-01,2900.7704423162313,0.0033077572379561367
1885-04-01,2910.365486742452,0.0033057876240984605
1885-05-01,2919.9865369501285,0.0033038179165315548
1885-06-01,2929.6336407869353,0.0033018482496429773
1885-07-01,2939.306846495863,0.003299878776174141
1885-08-01,2949.006202775278,0.003297909667033645
1885-09-01,2958.7317588395526,0.0032959411111091025
1885-10-01,2968.483564480256,0.0032939733150776944
1885-11-01,2978.2616701279007,0.003292006503209698
1885-12-01,2988.066126914222,0.003290040917170235
1886-01-01,2997.89698673498,0.0007950926566030595
1886-02-01,3000.2805926143856,0.0008883873079883344
1886-03-01,3002.946003813268,0.0009819070838939438
1886-04-01,3005.894617766963,0.0010756559816241292
1886-05-01,3009.127926292696,0.0011696384999230112
1886-06-01,3012.6475181664814,0.0012638595842769484
1886-07-01,3016.4550816063643,0.0013583245717547693
1886-08-01,3020.5524066633047,0.0014530391354741147
1886-09-01,3024.941387520937,0.0015480092287721355
1886-10-01,3029.6240247053142,0.001643241029148132
1886-11-01,3034.602427205603,0.0017387408820613156
1886-12-01,3039.878814506588,0.0018345152446412666
1887-01-01,3045.455518533662,0.005790736410553513
1887-02-01,3063.090948691556,0.005746313334483638
1887-03-01,3080.6924290547586,0.0057017997371021124
1887-04-01,3098.2579203368355,0.005657191936298657
1887-05-01,3115.7853600603385,0.005612486548723473
1887-06-01,3133.2726634823866,0.005567680482314754
1887-07-01,3150.717724536628,0.005522770929214905
1887-08-01,3168.118416791861,0.0054777553590882825
1887-09-01,3185.472594427669,0.0054326315127995245
1887-10-01,3202.778093227316,0.005387397396443946
1887-11-01,3220.0327315881564,0.005342051275718997
1887-12-01,3237.234311549794,0.0052965916706078555
1888-01-01,3254.3806198401544,0.004320033249439199
1888-02-01,3268.4396523241944,0.004300020117144769
1888-03-01,3282.494008580862,0.004279893568737626
1888-04-01,3296.542733577607,0.00425965487480652
1888-05-01,3310.584867902699,0.004239305317724979
1888-06-01,3324.6194479379787,0.00421884619095544
1888-07-01,3338.6455060322883,0.004198278798380124
1888-08-01,3352.6620706755707,0.004177604453667675
1888-09-01,3366.6681666736677,0.004156824479659349
1888-10-01,3380.6628153237866,0.004135940207787932
1888-11-01,3394.645034590658,0.00411495297752023
1888-12-01,3408.613839283371,0.004093864135828423
1889-01-01,3422.5682412329015,0.002595123992692821
1889-02-01,3431.4502301923535,0.0026283340635962628
1889-03-01,3440.4692277199033,0.002661653613197371
1889-04-01,3449.6265650709583,0.00269508440646011
1889-05-01,3458.9235998345916,0.0027286282985697448
1889-06-01,3468.361716651691,0.002762287222134908
1889-07-01,3477.94232790334,0.0027960631743794906
1889-08-01,3487.666874369006,0.002829958204318384
1889-09-01,3497.536825854056,0.002863974399930971
1889-10-01,3507.553681786118,0.002898113875337185
1889-11-01,3517.7189717797924,0.002932378757979896
1889-12-01,3528.0342561691823,0.002966771175818047
1890-01-01,3538.5011265076837,0.003183332267685608
1890-02-01,3549.7653513229375,0.0032149658624182273
1890-03-01,3561.1777257470358,0.0032466643856558647
1890-04-01,3572.7396746402096,0.003278428825488841
1890-05-01,3584.4526473755177,0.003310260097923256
1890-06-01,3596.3181179470203,0.003342159041558084
1890-07-01,3608.337585061236,0.0033741264122984457
1890-08-01,3620.5125722114803,0.0034061628780897354
1890-09-01,3632.8446277346043,0.0034382690136869525
1890-10-01,3645.3353248496833,0.003470445295445781
1890-11-01,3657.98626167813,0.0035026920961452037
1890-12-01,3670.799061244718,0.0035350096798368326
1891-01-01,3683.775371458954,0.007049017802502473
1891-02-01,3709.7423696327883,0.006959308631709226
1891-03-01,3735.559611727191,0.006869428184156125
1891-04-01,3761.2207702075852,0.006779377045111171
1891-05-01,3786.719503958726,0.0066891563512717035
1891-06-01,3812.049462779116,0.006598767764067112
1891-07-01,3837.204291889132,0.006508213444212566
1891-08-01,3862.177636449795,0.006417496027445505
1891-09-01,3886.9631460890005,0.006326618601392423
1891-10-01,3911.554479431974,0.006235584683509044
1891-11-01,3935.945308632631,0.006144398200038273
1891-12-01,3960.1293239024426,0.006053063465946482
1892-01-01,3984.10023803338,-0.0029916103376959376
1892-02-01,3972.1813625748623,-0.0027537164296769167
