,AUS,AUT,BEL,CAN,DNK,FRA,DEU,ITA,JPN,NLD,NOR,SGD,ESP,SWE,CHE,GBR,USA,ALL AVERAGE,16 COUNTRIES AVERAGE,NO JPN CHE AVERAGE
1970,0.0625421751957827,0.08442292815938357,0.1041295722800157,0.14177948178003166,0.10009120754737703,0.10199597108383651,0.10300667717599454,0.1313688026348117,0.0661055002981973,0.1380481379467948,0.05554667788059318,,,0.08422313975292103,0.09682723747824569,0.11146303012739955,0.15387949073584306,0.10203169066309299,0.10203169066309299,0.10584495172667953
1971,0.1274002540155982,0.09955816297487607,0.09443689879578458,0.051434505432388054,0.12372587332096213,0.10158150077184466,0.08734010361758265,0.13896640777538058,0.11175196373817378,0.10427852192603904,0.0727392203229695,,,0.06843863253142637,0.07405198073825038,0.08899999999999986,0.05823002083993174,0.0934503447124431,0.0934503447124431,0.09083917877376786
1972,-0.01358145331761636,0.018576070422876397,0.04456462781695405,0.051302690269268536,0.06504589814107459,0.01812520585275994,-0.007246171650065405,0.07790020280700612,0.030170457301609034,0.003615681757914002,0.06809664064554392,,,0.0671299138353567,0.00609334293272251,-0.01236033435827714,0.020773197784137016,0.0278527352044354,0.0278527352044354,0.026769103851095224
1973,-0.05699426307786399,-0.004203485162817919,-0.0009381869173086177,-0.005063938658485311,-0.0580448165436059,-0.042316626462209996,0.032941914265932654,-0.06762813046626341,-0.04604789840262312,-0.031008739652608388,0.0028627765657853466,,,0.04858222677973266,-0.044344857301049256,-0.08822237227264798,0.022587687860221584,-0.02565271592833763,-0.02565271592833763,-0.018990519219431328
1974,0.04966681905102502,0.10500421221484715,0.0936744428462078,0.08062028586213221,0.21963316137913727,0.1593497492029136,0.22010573232325845,0.008140505578984764,0.09616808473367082,0.16048174516726763,0.05877233634951671,,,0.016727609107824924,0.11888058560164953,0.16623259532449547,0.0487272083558739,0.10668798254088965,0.10668798254088965,0.09686400308933144
1975,0.08071872783411418,0.14818730654293774,0.054350508310846146,0.08206772593482611,0.1253989806837405,0.11115338220933343,0.1275523040515423,0.036607016843757736,0.12110767608041935,0.07828807589246763,0.07547860211521663,,,0.05885474684472376,0.1675093252608868,0.14195201120589765,0.10402802576035489,0.09853368860444363,0.09853368860444363,0.09011108799745408
1976,0.08888650384508204,0.08810591405219693,0.10396575395347853,0.12093150790695706,0.12400107685599075,0.06214968640152435,0.18872314781349994,0.05631303438485069,0.1765039957620532,0.14237845171525992,0.06352809452391578,,,0.06603248109067354,0.11963314759595375,0.2324209480349138,0.08826077066662294,0.11168069513621737,0.11168069513621737,0.1068216129584578
1977,0.1722736157778337,0.12022132363950128,0.1085494366359204,0.053199011124380934,0.07694643550514615,0.12107751508760081,0.09110702777998209,0.19220753541967178,0.1573116069878177,0.1037339850728358,0.008904381840474334,,,0.07731532301777398,0.09570712511230722,0.14090940538050448,0.01339647085810787,0.10049287034139491,0.10049287034139491,0.10082175196153194
1978,0.05046476970971593,0.09774323003004608,0.021560756983697242,0.039014116190657644,0.08606479162774855,0.07776155157947875,-0.05101244568747689,0.11971913620516887,-0.04035159848207658,0.015067342454292787,0.07596492162288257,,,0.07941864560320606,0.02414969830120603,0.09800546895526449,0.023438345623718066,0.035180370569991626,0.035180370569991626,0.039873117032286555
1979,-0.005097963637891104,0.0036039271297627086,-0.039714125420026065,-0.016675892489632953,0.07811809171520726,-0.06717576920254584,0.007986943338265471,0.08374674598206587,-0.013454909541083053,0.005457795015475742,-0.009821906577610475,,0.010856371669545395,0.03635716747324005,-0.06029171028558339,0.0900249239445889,-0.015476381135267515,0.005182610695011774,0.005182610695011774,0.005682032803458986
1980,0.0020723838105792367,0.015378682468014994,0.04124868274795098,-0.004924302116624507,0.12400468468845807,0.005344795046810672,-0.007989653592300246,-0.016620890460632764,0.12553457162396073,0.029463392668635336,-0.0047272883473700265,,0.1665557760276216,0.029208657523320723,-0.007746570238632205,0.09214741128539428,-0.006983844879802501,0.033894114079384946,0.033894114079384946,0.02527287885942486
1981,0.07274982439686094,0.14596393957987433,0.13490506464225333,0.19923950728442388,0.13105572622987902,0.1678264863934201,0.16952924858879317,0.15917609719820447,0.12462691403170634,0.19867495045396222,0.07776588564672389,,0.14980533301921364,0.15795814528654817,0.10869835873665945,0.2432761626603309,0.18579806166322313,0.14670271144196265,0.14670271144196265,0.15529982821951172
1982,0.22779675372318123,0.20775192968093184,0.21387232105237278,0.2752650275528804,0.49179098403407745,0.259933090413478,0.1489961108725379,0.28399805367801473,0.12082255536827576,0.1917631227369714,0.14953882478370314,,0.11882890085610195,0.16938343818052706,0.07154965534369961,0.24426827777038249,0.23420426393066499,0.21430995293913982,0.21430995293913982,0.20737105185631863
1983,0.1570155587865954,0.09106254382197959,0.10356003272437796,0.06817478521897227,0.1460609915955771,0.19343495917111753,0.0845819280544239,0.3091287540991528,0.11494036995802273,0.10335378281453536,0.16567199108356204,,0.18674494766711355,0.12405440260876413,0.031412879903957504,0.09047062322884555,0.04140401945349411,0.12632925678403434,0.12632925678403434,0.13353999462722219
1984,0.11448740298316071,0.09596769722493788,0.19280257667535425,0.22203648435266124,0.29861052176917474,0.20040502957055323,0.14479112685419943,0.2504808869029566,0.09882998170559695,0.1468781580653131,0.09970625024163499,,0.3246475493976845,0.08137231439506325,0.041257618850024345,0.1201696159590998,0.22668018415279062,0.16727278481672928,0.16727278481672928,0.17046173427160718
