Sim Number,length,returns,bequest,1-in-200,1st,5th,10th,50th
475,55,DMS World 60/40,0,0.016358,0.018356,0.024504,0.028427,0.046156
476,55,DMS World 60/40,0.25,0.013833,0.015995,0.022587,0.026629,0.044731
477,55,DMS World 60/40,0.5,0.010369,0.013334,0.020456,0.024699,0.043533
478,55,DMS World 60/40,0.75,0.007495,0.010635,0.018728,0.023576,0.04282
479,55,DMS World 60/40,1,0.003895,0.007462,0.016516,0.021688,0.04177
480,60,Historical 100,0,0.010263,0.01288,0.021521,0.02751,0.058267
481,60,Historical 100,0.25,0.008907,0.011715,0.020555,0.027076,0.058431
482,60,Historical 100,0.5,0.005996,0.009313,0.019229,0.025957,0.057499
483,60,Historical 100,0.75,0.002598,0.00715,0.018163,0.024718,0.056974
484,60,Historical 100,1,-0.000931,0.004065,0.016324,0.023549,0.056928
485,60,Historical 60,0,0.018497,0.020426,0.027904,0.031936,0.051442
486,60,Historical 60,0.25,0.016374,0.018701,0.0261,0.030777,0.05056
487,60,Historical 60,0.5,0.013902,0.016819,0.02513,0.029842,0.050052
488,60,Historical 60,0.75,0.013529,0.015965,0.023955,0.028783,0.04959
489,60,Historical 60,1,0.010763,0.0138,0.023071,0.028017,0.0488
490,60,Historical 0,0,0.018611,0.019647,0.022192,0.02393,0.030247
491,60,Historical 0,0.25,0.015878,0.016917,0.019876,0.021572,0.028279
492,60,Historical 0,0.5,0.012729,0.014195,0.017493,0.019314,0.026361
493,60,Historical 0,0.75,0.010101,0.011298,0.015013,0.016975,0.024464
494,60,Historical 0,1,0.00684,0.008294,0.01259,0.014717,0.022599
495,60,Conservative 100,0,0.007531,0.009417,0.016477,0.022225,0.053051
496,60,Conservative 100,0.25,0.004152,0.006672,0.015032,0.020871,0.052692
497,60,Conservative 100,0.5,-7.4e-05,0.00362,0.01317,0.01966,0.051824
498,60,Conservative 100,0.75,-0.003592,0.001112,0.011601,0.018417,0.051631
499,60,Conservative 100,1,-0.009611,-0.003062,0.010358,0.017464,0.051065
500,60,Conservative 60,0,0.013146,0.015076,0.021543,0.025763,0.046637
501,60,Conservative 60,0.25,0.010869,0.012725,0.019697,0.02443,0.045766
502,60,Conservative 60,0.5,0.007247,0.010193,0.018163,0.022943,0.044876
503,60,Conservative 60,0.75,0.004443,0.007786,0.016742,0.021583,0.043853
504,60,Conservative 60,1,0.00091,0.004994,0.014738,0.020322,0.043037
505,60,Conservative 0,0,0.012982,0.014001,0.017034,0.018812,0.026678
506,60,Conservative 0,0.25,0.008852,0.010093,0.013919,0.016048,0.024444
507,60,Conservative 0,0.5,0.004387,0.005944,0.010156,0.012659,0.022019
508,60,Conservative 0,0.75,1e-06,0.001864,0.006836,0.009616,0.019822
509,60,Conservative 0,1,-0.004517,-0.002353,0.003784,0.006676,0.017632
510,60,Low Yields High Valuations 60/40,0,0.013257,0.014811,0.019913,0.023208,0.037337
511,60,Low Yields High Valuations 60/40,0.25,0.011106,0.013153,0.018434,0.021842,0.036187
512,60,Low Yields High Valuations 60/40,0.5,0.009058,0.011053,0.017318,0.020833,0.035774
513,60,Low Yields High Valuations 60/40,0.75,0.006977,0.009176,0.015661,0.01939,0.034905
514,60,Low Yields High Valuations 60/40,1,0.004622,0.00726,0.014185,0.018231,0.034212
515,60,Low Yields 60/40,0,0.022985,0.02547,0.03356,0.038402,0.059142
516,60,Low Yields 60/40,0.25,0.02207,0.024571,0.032642,0.038047,0.059045
517,60,Low Yields 60/40,0.5,0.0212,0.023786,0.032772,0.037686,0.058916
518,60,Low Yields 60/40,0.75,0.020421,0.023087,0.031713,0.037162,0.058266
519,60,Low Yields 60/40,1,0.019441,0.022592,0.031171,0.036478,0.058039
520,60,RA High Vol,0,0.019118,0.021973,0.029463,0.034436,0.056794
521,60,RA High Vol,0.25,0.017385,0.020137,0.028401,0.03338,0.056223
522,60,RA High Vol,0.5,0.017151,0.019533,0.02759,0.032685,0.055674
523,60,RA High Vol,0.75,0.014018,0.017312,0.026225,0.031567,0.05525
524,60,RA High Vol,1,0.012838,0.015863,0.025546,0.031116,0.05482
525,60,RA Medium Vol,0,0.020636,0.022671,0.02883,0.032827,0.049262
526,60,RA Medium Vol,0.25,0.018597,0.021084,0.027794,0.03191,0.048698
527,60,RA Medium Vol,0.5,0.016668,0.019096,0.026582,0.030853,0.048047
528,60,RA Medium Vol,0.75,0.01561,0.017952,0.025182,0.029464,0.047038
529,60,RA Medium Vol,1,0.014072,0.016478,0.024152,0.028711,0.046597
530,60,RA Low Vol,0,0.020286,0.021523,0.025444,0.027682,0.037354
531,60,RA Low Vol,0.25,0.018065,0.019298,0.023548,0.025932,0.035881
532,60,RA Low Vol,0.5,0.015603,0.017358,0.021791,0.024447,0.034654
533,60,RA Low Vol,0.75,0.013425,0.014902,0.020041,0.022782,0.033256
534,60,RA Low Vol,1,0.010741,0.012941,0.017758,0.020767,0.031853
535,60,DMS World 60/40,0,0.015383,0.017427,0.023771,0.027588,0.044966
536,60,DMS World 60/40,0.25,0.01353,0.015603,0.022161,0.026162,0.04436
537,60,DMS World 60/40,0.5,0.010497,0.012974,0.020432,0.02504,0.043401
538,60,DMS World 60/40,0.75,0.008902,0.011194,0.018881,0.023632,0.042334
539,60,DMS World 60/40,1,0.006155,0.008944,0.017165,0.021916,0.041554
