,NAV,Change
1955-04-01,4327.879290900702,0.004603333333333256
1955-05-01,4347.8019619031475,0.004603333333333315
1955-06-01,4367.816343601108,0.004603333333333299
1955-07-01,4387.922858169485,0.004603333333333236
1955-08-01,4408.121929726592,0.00460333333333348
1955-09-01,4428.4139843431,0.004603333333333205
1955-10-01,4448.799450051026,0.004603333333333203
1955-11-01,4469.27875685276,0.004603333333333455
1955-12-01,4489.8523367301395,0.004603333333333376
1956-01-01,4510.520623653554,0.004603333333333217
1956-02-01,4531.2840535911055,0.004603333333333377
1956-03-01,4552.143064517803,0.015318913562558123
1956-04-01,4621.87695064755,0.0044508006480241495
1956-05-01,4642.44800357458,0.0044507662231994686
1956-06-01,4663.11045434185,0.004450731800791228
1956-07-01,4683.864708331591,0.004450697380795363
1956-08-01,4704.711172720962,0.004450662963207754
1956-09-01,4725.650256489981,0.004450628548024517
1956-10-01,4746.682370429495,0.004450594135242444
1956-11-01,4767.807927149187,0.004450559724855204
1956-12-01,4789.0273410856025,0.004450525316862542
1957-01-01,4810.341028510251,0.004450490911258737
1957-02-01,4831.749407537691,0.004450456508039275
1957-03-01,4853.252898133682,0.004450422107202774
1957-04-01,4874.851922123382,0.004450387708741826
1957-05-01,4896.546903199536,0.0044503533126558
1957-06-01,4918.338266930765,0.004450318918939755
1957-07-01,4940.226440769832,0.004450284527589474
1957-08-01,4962.211854061979,0.0044502501386006485
1957-09-01,4984.294938053284,0.0044502157519713224
1957-10-01,5006.476125899079,0.004450181367695519
1957-11-01,5028.755852672368,-0.016593560584135216
1957-12-01,4945.310887768224,0.0047549580752062155
1958-01-01,4968.825633708423,0.00475499520240723
1958-02-01,4992.452375758305,0.004755032315754767
1958-03-01,5016.191648139902,0.0047550694152494796
1958-04-01,5040.043987627002,0.004755106500888895
1958-05-01,5064.009933557333,0.004755143572676269
1958-06-01,5088.090027844857,0.004755180630609419
1958-07-01,5112.284814992062,0.004755217674688017
1958-08-01,5136.594842102351,-0.0161207457369869
1958-09-01,5053.789102698901,0.005059539171235062
1958-10-01,5079.358946627167,0.005059657904454373
1958-11-01,5105.05876527103,0.005059776557089784
1958-12-01,5130.889221934114,0.005059895129143848
1959-01-01,5156.850983316355,0.005060013620625043
1959-02-01,5182.94471953147,0.005060132031536077
1959-03-01,5209.171104124452,0.005060250361884159
1959-04-01,5235.530814089214,0.005060368611672758
1959-05-01,5262.0245298862765,0.005060486780910325
1959-06-01,5288.652935460592,0.0050606048696009084
1959-07-01,5315.416718259413,0.005060722877750243
1959-08-01,5342.316569250284,0.005060840805364202
1959-09-01,5369.3531829391195,0.0050609586524494364
1959-10-01,5396.527257388372,0.005061076419011355
1959-11-01,5423.8394942352925,0.005061194105056632
1959-12-01,5451.2905987102895,0.0050613117105901845
1960-01-01,5478.881279655372,0.005061429235619312
1960-02-01,5506.612249542707,0.005061546680149675
1960-03-01,5534.4842244932515,0.005061664044187897
1960-04-01,5562.497924295494,0.005061781327739403
1960-05-01,5590.654072424282,0.005061898530812439
1960-06-01,5618.953396059767,0.0050620156534118155
1960-07-01,5647.396626106413,0.005062132695545025
1960-08-01,5675.984497212137,0.005062249657219401
1960-09-01,5704.717747787532,0.005062366538440092
1960-10-01,5733.597120025177,0.005062483339213718
1960-11-01,5762.623359919068,0.005062600059548975
1960-12-01,5791.797217284153,0.005062716699451946
1961-01-01,5821.119445775937,0.0050628332589288325
1961-02-01,5850.590802910208,0.005062949737986944
1961-03-01,5880.212050082871,0.0050630661366349436
1961-04-01,5909.983952589879,0.0050632670116641885
1961-05-01,5939.907779376492,0.00506338442518218
1961-06-01,5969.983815913605,0.005063501761159467
1961-07-01,6000.212839479577,0.0050636190196007985
1961-08-01,6030.595631335219,0.0050637362005080235
1961-09-01,6061.132976744237,0.005063853303884413
1961-10-01,6091.825664993806,0.00506397032973246
1961-11-01,6122.674489415237,0.005064087278056128
1961-12-01,6153.680247404764,0.005064204148857909
1962-01-01,6184.843740444416,0.005064320942140597
1962-02-01,6216.165774123016,0.005064437657908473
1962-03-01,6247.647158157286,0.0050645542961644295
1962-04-01,6279.288706413051,0.005064710270488455
1962-05-01,6311.091484415783,0.005064866120321351
1962-06-01,6343.056317857449,0.00506502184567558
1962-07-01,6375.184036675748,0.005065177446561771
1962-08-01,6407.4754750759985,0.005065332922996798
1962-09-01,6439.9314715531955,0.0050654882749914315
1962-10-01,6472.5528689140965,0.00506564350255954
1962-11-01,6505.340514299484,0.005065798605715282
1962-12-01,6538.295259206526,0.005065953584471827
1963-01-01,6571.417959511238,0.005066108438843089
1963-02-01,6604.709475491083,0.005066263168842675
1963-03-01,6638.17067184767,0.005066417774485394
1963-04-01,6671.8024177295865,0.005066572255785074
1963-05-01,6705.605586755335,0.02622536202823829
1963-06-01,6881.462520886571,0.0047620763639012334
1963-07-01,6914.232570906357,0.004762147848624332
1963-08-01,6947.159168668787,0.004762219297533114
1963-09-01,6980.243064124856,0.004762290710626565
1963-10-01,7013.485010827053,0.004762362087903449
1963-11-01,7046.885765946695,0.004762433429361819
